path,id,fullterm,tooltip/en,tooltip/es,tooltip/pt,resources/dwc/href,resources/dwc/meta/name,resources/dwc/meta/source,resources/symbdocs/href,resources/symbdocs/meta/name,resources/symbdocs/meta/source
terms,lifeStage,Life Stage,"The age or stage of the organism at the time of collection/observation. Typically used for zoological collections. Example(s): larva, juvenile. See Darwin Core's lifeStage.",,,http://rs.tdwg.org/dwc/terms/lifeStage,Life Stage,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#lifeStage,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,locality,Locality,The detailed location in which the specimen was collected. Example(s): 9.5 miles NW of Sedona along Boynton Pass Rd. See Darwin Core's Locality.,,,http://rs.tdwg.org/dwc/terms/Locality,Locality,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#locality,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,localitySecurity,Locality Security,"Checking the Locality Security checkbox will hide images and locality details below the level of county from unauthorized users. For more information about locality security in Symbiota, visit our Redacting Data page. This field is not defined by the Darwin Core standard.",,,,Locality Security,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#localitySecurity,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,locationID,Location ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set. Example(s): https://opencontext.org/subjects/ 768A875F-E205-4D0B-DE55-BAB7598D0FD1. See Darwin Core's locationID.,,,http://rs.tdwg.org/dwc/terms/locationID,Location ID,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#locationID,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,locationRemarks,Location Remarks,Comments or notes about the Location. Example(s): under water since 2005. See Darwin Core's locationRemarks.,,,http://rs.tdwg.org/dwc/terms/locationRemarks,Location Remarks,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#locationRemarks,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,minimumDepthInMeters,Depth in Meters,"The range of depth below the local surface, in meters. Example(s): 100, 150-200. See Darwin Core's minimumDepthInMeters, maximumDepthInMeters.",,,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters; http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,Depth in Meters,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#minimumDepthInMeters,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,minimumElevationInMeters,Elevation in Meters,"The elevation in meters at which the specimen was collected. Also called altitude. Use only the left field with the right field blank when a single elevation exists. Example(s): 1400, 2000-2200. See Darwin Core's minimumElevationInMeters, maximumElevationInMeters.",,,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters; http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,Elevation in Meters,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#minimumElevationInMeters,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,municipality,Municipality,"The name of the municipality in which the specimen was collected. For specimens collected outside of the United States, enter the 4th level geographic designation. Example(s): Paradise Valley, Tucson. See Darwin Core's municipality.",,,http://rs.tdwg.org/dwc/terms/municipality,Municipality,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#municipality,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,occurrenceid,Occurrence Id,"This is the Global Unique Identification (GUID) for the specimen. This identification code should be stable and uniquely identify the specimen relative to all other specimens within the world. Example(s): 000866d2-c177-4648-a200-ead4007051b9, urn:catalog:UWBM:Bird:89776. See Darwin Core's occurrenceID.",,,http://rs.tdwg.org/dwc/terms/occurrenceID,Occurrence Id,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#occurrenceid,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,occurrenceRemarks,Notes,"Any additional notes regarding the specimen. This field often includes characteristics of the population, such as its frequency or rarity. See Darwin Core's occurrenceRemarks.",,,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,Notes,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#occurrenceRemarks,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
